product_link_id,product_link,canonical_product_link,item_id_raw,sku_from_url,item_id_from_description,item_id_clean
1239,https://www.ulta.com/p/halo-glow-setting-powder-pimprod2020785?sku=2574627,https://www.ulta.com/p/halo-glow-setting-powder-pimprod2020785,2574627,2574627,2574627,2574627
124,https://www.ulta.com/p/hint-hint-skin-tint-pimprod2017569?sku=2569296,https://www.ulta.com/p/hint-hint-skin-tint-pimprod2017569,2569296,2569296,2569296,2569296
1240,https://www.ulta.com/p/all-nighter-waterproof-setting-powder-xlsImpprod18271004?sku=2527641,https://www.ulta.com/p/all-nighter-waterproof-setting-powder-xlsImpprod18271004,2527641,2527641,2527641,2527641
1241,https://www.ulta.com/p/mini-mac-prep-prime-fix-primer-setting-spray-xlsImpprod15921206?sku=2510727,https://www.ulta.com/p/mini-mac-prep-prime-fix-primer-setting-spray-xlsImpprod15921206,2510727,2510727,2510727,2510727
1242,https://www.ulta.com/p/creaseless-loose-setting-powder-pimprod2045800?sku=2624750,https://www.ulta.com/p/creaseless-loose-setting-powder-pimprod2045800,,2624750,2624750,2624750
1243,https://www.ulta.com/p/bye-bye-pores-pressed-pore-minimizing-setting-powder-xlsImpprod12841021?sku=2290474,https://www.ulta.com/p/bye-bye-pores-pressed-pore-minimizing-setting-powder-xlsImpprod12841021,2290474,2290474,2290474,2290474
1244,https://www.ulta.com/p/bye-bye-pores-translucent-loose-setting-powder-xlsImpprod5770265?sku=2264078,https://www.ulta.com/p/bye-bye-pores-translucent-loose-setting-powder-xlsImpprod5770265,2264078,2264078,2264078,2264078
1245,https://www.ulta.com/p/veil-translucent-setting-powder-pimprod2020474?sku=2572599,https://www.ulta.com/p/veil-translucent-setting-powder-pimprod2020474,2572599,2572599,2572599,2572599
1246,https://www.ulta.com/p/all-nighter-ultra-matte-setting-spray-pimprod2012119?sku=2556547,https://www.ulta.com/p/all-nighter-ultra-matte-setting-spray-pimprod2012119,2556547,2556547,2556547,2556547
1247,https://www.ulta.com/p/stay-all-night-micro-fine-setting-mist-pimprod2017176?sku=2567177,https://www.ulta.com/p/stay-all-night-micro-fine-setting-mist-pimprod2017176,2567177,2567177,2567177,2567177
1248,https://www.ulta.com/p/face-tape-pressed-powder-pimprod2044679?sku=2621965,https://www.ulta.com/p/face-tape-pressed-powder-pimprod2044679,2621965,2621965,2621965,2621965
1249,https://www.ulta.com/p/translucent-pressed-setting-powder-ultra-blur-pimprod2045027?sku=2622822,https://www.ulta.com/p/translucent-pressed-setting-powder-ultra-blur-pimprod2045027,2622822,2622822,2622822,2622822
125,https://www.ulta.com/p/forever-natural-matte-velvet-compact-foundation-pimprod2045605?sku=2625554,https://www.ulta.com/p/forever-natural-matte-velvet-compact-foundation-pimprod2045605,,2625554,2625554,2625554
1250,https://www.ulta.com/p/porefessional-super-setter-long-lasting-makeup-setting-spray-pimprod2020913?sku=2572791,https://www.ulta.com/p/porefessional-super-setter-long-lasting-makeup-setting-spray-pimprod2020913,2572791,2572791,2572791,2572791
1251,https://www.ulta.com/p/superfix-misting-spray-pimprod2022387?sku=2574452,https://www.ulta.com/p/superfix-misting-spray-pimprod2022387,2574452,2574452,2574452,2574452
1252,https://www.ulta.com/p/mini-continuous-setting-mist-pimprod2017654?sku=2569792,https://www.ulta.com/p/mini-continuous-setting-mist-pimprod2017654,,2569792,2569792,2569792
1253,https://www.ulta.com/p/mineral-veil-finishing-powder-broad-spectrum-spf-25-xlsImpprod1840021?sku=2215316,https://www.ulta.com/p/mineral-veil-finishing-powder-broad-spectrum-spf-25-xlsImpprod1840021,2215316,2215316,2215316,2215316
1254,https://www.ulta.com/p/pretty-fresh-pressed-face-powder-pimprod2030914?sku=2593136,https://www.ulta.com/p/pretty-fresh-pressed-face-powder-pimprod2030914,,2593136,2593136,2593136
1255,https://www.ulta.com/p/loose-setting-powder-90?sku=2278300,https://www.ulta.com/p/loose-setting-powder-90,2278300,2278300,2278300,2278300
1256,https://www.ulta.com/p/mineral-matte-loose-finishing-powder-xlsImpprod5050037?sku=2254936,https://www.ulta.com/p/mineral-matte-loose-finishing-powder-xlsImpprod5050037,2254936,2254936,2254936,2254936
1257,https://www.ulta.com/p/mini-translucent-loose-setting-powder-ultra-blur-pimprod2042328?sku=2616140,https://www.ulta.com/p/mini-translucent-loose-setting-powder-ultra-blur-pimprod2042328,2616140,2616140,2616140,2616140
1258,https://www.ulta.com/p/translucent-loose-setting-powder-pimprod2008582?sku=2551083,https://www.ulta.com/p/translucent-loose-setting-powder-pimprod2008582,2551083,2551083,2551083,2551083
1259,https://www.ulta.com/p/makeup-setting-spray-organic-sunscreen-spf-30-xlsImpprod12131017?sku=2287002,https://www.ulta.com/p/makeup-setting-spray-organic-sunscreen-spf-30-xlsImpprod12131017,2287002,2287002,2287002,2287002
126,https://www.ulta.com/p/mini-halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2033372?sku=2596512,https://www.ulta.com/p/mini-halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2033372,2596512,2596512,2596512,2596512
1260,https://www.ulta.com/p/de-slick-oil-control-setting-spray-xlsImpprod15371017?sku=2503492,https://www.ulta.com/p/de-slick-oil-control-setting-spray-xlsImpprod15371017,2503492,2503492,2503492,2503492
1261,https://www.ulta.com/p/illuminating-mineral-veil-setting-powder-prod2138919?sku=2138919,https://www.ulta.com/p/illuminating-mineral-veil-setting-powder-prod2138919,,2138919,2138919,2138919
1262,https://www.ulta.com/p/secret-brightening-powder-under-eyes-pimprod2012344?sku=2586416,https://www.ulta.com/p/secret-brightening-powder-under-eyes-pimprod2012344,,2586416,2586416,2586416
1263,https://www.ulta.com/p/smooth-operator-amazonian-clay-tinted-pressed-setting-powder-xlsImpprod11771011?sku=2282470,https://www.ulta.com/p/smooth-operator-amazonian-clay-tinted-pressed-setting-powder-xlsImpprod11771011,2282470,2282470,2282470,2282470
1264,https://www.ulta.com/p/porefessional-super-setter-long-lasting-makeup-setting-spray-mini-pimprod2040598?sku=2572792,https://www.ulta.com/p/porefessional-super-setter-long-lasting-makeup-setting-spray-mini-pimprod2040598,2572792,2572792,2572792,2572792
1265,https://www.ulta.com/p/true-match-super-blendable-powder-VP10394?sku=2107730,https://www.ulta.com/p/true-match-super-blendable-powder-VP10394,2107730,2107730,2107730,2107730
1266,https://www.ulta.com/p/loose-baking-powder-pimprod2003250?sku=2505770,https://www.ulta.com/p/loose-baking-powder-pimprod2003250,2505770,2505770,2505770,2505770
1267,https://www.ulta.com/p/studio-fix-pro-set-blur-weightless-loose-powder-pimprod2038203?sku=2609367,https://www.ulta.com/p/studio-fix-pro-set-blur-weightless-loose-powder-pimprod2038203,2609367,2609367,2609367,2609367
1268,https://www.ulta.com/p/totally-set-mini-brighten-set-powder-duo-pimprod2043963?sku=2621491,https://www.ulta.com/p/totally-set-mini-brighten-set-powder-duo-pimprod2043963,2621491,2621491,2621491,2621491
1269,https://www.ulta.com/p/original-mineral-veil-set-protect-talc-free-setting-powder-mineral-spf-25-pa-pimprod2045195?sku=2623851,https://www.ulta.com/p/original-mineral-veil-set-protect-talc-free-setting-powder-mineral-spf-25-pa-pimprod2045195,2623851,2623851,2623851,2623851
127,https://www.ulta.com/p/smooth-finish-foundation-powder-pimprod2026345?sku=2586418,https://www.ulta.com/p/smooth-finish-foundation-powder-pimprod2026345,,2586418,2586418,2586418
1270,https://www.ulta.com/p/marsh-mellow-matte-setting-spray-pimprod2042789?sku=2617111,https://www.ulta.com/p/marsh-mellow-matte-setting-spray-pimprod2042789,2617111,2617111,2617111,2617111
1271,https://www.ulta.com/p/all-nighter-vitamin-c-hydrating-setting-spray-pimprod2032530?sku=2595985,https://www.ulta.com/p/all-nighter-vitamin-c-hydrating-setting-spray-pimprod2032530,2595985,2595985,2595985,2595985
1272,https://www.ulta.com/p/jumbo-bake-set-soft-focus-setting-powder-pimprod2043957?sku=2621391,https://www.ulta.com/p/jumbo-bake-set-soft-focus-setting-powder-pimprod2043957,2621391,2621391,2621391,2621391
1274,https://www.ulta.com/p/all-nighter-extra-glow-dewy-setting-spray-pimprod2017480?sku=2567751,https://www.ulta.com/p/all-nighter-extra-glow-dewy-setting-spray-pimprod2017480,2567751,2567751,2567751,2567751
