normalized_comment,number_of_reviews,number_of_products,canonical_product_links
coverage does a good job for consealing under eye circles. easy to apply,2,2,"[""https://www.ulta.com/p/bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod5770259"", ""https://www.ulta.com/p/travel-size-bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod12871043""]"
coverage is phenomenal! buy it!,2,2,"[""https://www.ulta.com/p/matte-cream-mattifying-blurring-primer-pimprod2044585"", ""https://www.ulta.com/p/travel-size-matte-cream-mattifying-blurring-primer-pimprod2044589""]"
covered my rosacea all day 😍,3,3,"[""https://www.ulta.com/p/studio-perfect-color-correcting-primer-in-green-xlsImpprod3280313"", ""https://www.ulta.com/p/studio-perfect-color-correcting-primer-in-lavender-xlsImpprod3280315"", ""https://www.ulta.com/p/studio-perfect-face-primer-in-clear-xlsImpprod3280311""]"
covers imperfections perfectly.,2,2,"[""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-makeup-pimprod2031254"", ""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-refill-pimprod2031253""]"
covers redness perfectly! definitely recommend,2,2,"[""https://www.ulta.com/p/hd-pro-corrector-concealer-pimprod2022723"", ""https://www.ulta.com/p/lightweight-hd-pro-creamy-concealer-xlsImpprod15711051""]"
crystah is by far the best blush ever. it is the perfect shade and looks good on every skin tone. i love the gold in it as well. it's the perfect blush!,2,2,"[""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141"", ""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-xlsImpprod820350""]"
definately my recent fav blush!,2,2,"[""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141"", ""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-xlsImpprod820350""]"
"despite being marketed as neutral the shade pulls very orange on me. i found that i needed to mix a blue color corrector to cancel put that orange and make it a true neutral shade. that aside, this is easily one of my favorite skints in terms of formula. its a very lightweight feeling with great buildability.",2,2,"[""https://www.ulta.com/p/hide-peek-concealer-pimprod2024755"", ""https://www.ulta.com/p/hint-hint-skin-tint-pimprod2017569""]"
did not expect it to be so mini mini but very good and easy to use!,2,2,"[""https://www.ulta.com/p/mini-radiant-creamy-concealer-pimprod2017511"", ""https://www.ulta.com/p/radiant-creamy-concealer-xlsImpprod15251325""]"
did not have a smooth finish after apply on my face,3,3,"[""https://www.ulta.com/p/facestudio-master-prime-blur-pore-minimize-primer-xlsImpprod18351169"", ""https://www.ulta.com/p/facestudio-master-prime-blur-redness-control-primer-xlsImpprod11861005"", ""https://www.ulta.com/p/facestudio-master-prime-blur-smooth-primer-xlsImpprod11861001""]"
didn't love the way it feels on,2,2,"[""https://www.ulta.com/p/mini-prime-time-original-pore-minimizing-primer-pimprod2039236"", ""https://www.ulta.com/p/prime-time-original-pore-minimizing-primer-pimprod2036786""]"
didn't take my lipstick off. worked no better then coconut oil.,2,2,"[""https://www.ulta.com/p/pro-collagen-cleansing-balm-xlsImpprod18731145"", ""https://www.ulta.com/p/travel-size-pro-collagen-cleansing-balm-pimprod2004741""]"
"didn't take off my makeup, irritated my eyes, overpriced.",2,2,"[""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-mini-xlsImpprod18791009"", ""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-xlsImpprod11771009""]"
didn't work for me/wouldn't be absorbed fully by my skin. i have sensitive primarily dry combination skin,3,3,"[""https://www.ulta.com/p/facestudio-master-prime-blur-pore-minimize-primer-xlsImpprod18351169"", ""https://www.ulta.com/p/facestudio-master-prime-blur-redness-control-primer-xlsImpprod11861005"", ""https://www.ulta.com/p/facestudio-master-prime-blur-smooth-primer-xlsImpprod11861001""]"
"disappointing! i wanted to love this, the reviews sounded good but i did not see any difference at all. just to be sure, i tried it on half of my face and applied my usual foundation, concealer etc as a comparison, but still did not see any difference in the look of my pores, of the wear of my makeup. two stars because it is not irritating (i have sensitive skin), did not clog my pores and did not have a scent. other than that, it didn't do anytihng.",2,2,"[""https://www.ulta.com/p/porefessional-pore-minimizing-primer-mini-xlsImpprod10141042"", ""https://www.ulta.com/p/porefessional-pore-minimizing-primer-xlsImpprod2290003""]"
does an amazing job at blending my pores and textured acne. my favorite primer.,2,2,"[""https://www.ulta.com/p/original-photo-finish-smooth-blur-oil-free-primer-xlsImpprod3590041"", ""https://www.ulta.com/p/travel-size-original-photo-finish-smooth-blur-oil-free-primer-pimprod2033047""]"
does make pores look smaller,2,2,"[""https://www.ulta.com/p/porefessional-pore-minimizing-primer-mini-xlsImpprod10141042"", ""https://www.ulta.com/p/porefessional-pore-minimizing-primer-xlsImpprod2290003""]"
does not work it left a horrible stain of product and my pores look much worse 😭,2,2,"[""https://www.ulta.com/p/porefessional-pore-minimizing-primer-mini-xlsImpprod10141042"", ""https://www.ulta.com/p/porefessional-pore-minimizing-primer-xlsImpprod2290003""]"
"does prolong foundation, mattifying but does not keep face from getting oily more than other mattifying primers on market",2,2,"[""https://www.ulta.com/p/photo-finish-control-mattifying-primer-pimprod2030521"", ""https://www.ulta.com/p/travel-size-photo-finish-control-mattifying-primer-with-salicylic-acid-pimprod2032762""]"
doesn't conceal &amp; dries out skin,2,2,"[""https://www.ulta.com/p/mini-radiant-creamy-concealer-pimprod2017511"", ""https://www.ulta.com/p/radiant-creamy-concealer-xlsImpprod15251325""]"
doesn't correct. doesn't prime.. is oddly shimmery?! just terrible. i will be returning it immediately.,2,2,"[""https://www.ulta.com/p/photo-finish-correct-anti-redness-primer-pimprod2030499"", ""https://www.ulta.com/p/travel-size-photo-finish-correct-anti-redness-primer-pimprod2032763""]"
doesn't work for sweaty times but other than that i like this stuff a lot!,2,2,"[""https://www.ulta.com/p/airbrush-flawless-setting-spray-pimprod2043342"", ""https://www.ulta.com/p/travel-size-airbrush-flawless-setting-spray-pimprod2043334""]"
"doesn't work great as a concealer, it has decent coverage though. the texture and pigment is kind of cakey if you're using it on dryer skin. it blends ok. i use it with face powder on top and it gets flakey on certain areas of my face which are dryer despite my using moisturizer before applying everything.",2,2,"[""https://www.ulta.com/p/megaglo-makeup-stick-conceal-pimprod2012854"", ""https://www.ulta.com/p/megaglo-makeup-stick-contour-xlsImpprod16731047""]"
doesn't work. period. doesn't do anything to redness. and it doesn't sit well under makeup either. straight in the trash.,2,2,"[""https://www.ulta.com/p/studio-perfect-color-correcting-primer-in-lavender-xlsImpprod3280315"", ""https://www.ulta.com/p/studio-perfect-face-primer-in-clear-xlsImpprod3280311""]"
don't like it.,2,2,"[""https://www.ulta.com/p/mini-prime-time-original-pore-minimizing-primer-pimprod2039236"", ""https://www.ulta.com/p/prime-time-original-pore-minimizing-primer-pimprod2036786""]"
